ID,Materia,Subtopico,Dificuldade,Tempo_Min
58,História,Medieval,3.7,11
59,Português,Literatura Brasileira,3.7,11
60,Física,Cinemática,2.8,6
61,Física,Eletromagnetismo,1.9,5
62,Física,Dinâmica,2.5,11
63,História,Brasil República,4.9,16
64,Matemática,Estatística,4.3,15
65,Física,Dinâmica,2.1,9
66,Química,Orgânica,2.1,6
67,Biologia,Evolução,3.5,11
68,História,Contemporânea,1.2,7
69,História,Antiga,1.0,6
70,História,Medieval,4.0,13
71,Matemática,Álgebra,1.3,2
72,Matemática,Combinatória,2.5,8
73,Química,Atomística,2.2,10
74,Matemática,Geometria Espacial,1.8,3
75,Geografia,Ambiental,4.5,15
76,Química,Físico-Química,4.5,17
77,Química,Inorgânica,1.1,3
78,Português,Literatura Brasileira,2.1,4
79,Português,Gramática,4.4,17
80,Inglês,Grammar,2.2,5
81,Biologia,Citologia,3.6,10
82,Física,Moderna,2.1,7
83,Geografia,Física,1.5,3
84,História,Antiga,1.4,7
85,Geografia,Cartografia,3.4,11
86,Biologia,Ecologia,1.2,5
87,Biologia,Ecologia,2.7,8
88,Geografia,Física,3.9,11
89,Português,Interpretação de Texto,2.6,6
90,Biologia,Fisiologia Humana,3.7,14
91,Química,Estequiometria,3.3,13
92,Matemática,Geometria Espacial,2.1,8
93,Geografia,Cartografia,2.8,10
94,Inglês,Vocabulary,1.7,7
95,Geografia,Física,4.3,15
96,História,Medieval,4.2,10
97,Biologia,Fisiologia Humana,3.4,11
98,Português,Redação,1.8,6
99,Português,Literatura Brasileira,1.6,8
100,Física,Moderna,2.7,11
101,Inglês,Reading,3.2,7
102,Inglês,Reading,4.2,14
103,Geografia,Cartografia,3.5,12
104,Português,Redação,2.8,12
105,Inglês,Grammar,2.0,9
106,História,Contemporânea,4.1,11
107,História,Brasil Império,1.3,3
108,Geografia,Geopolítica,4.6,12
109,Biologia,Fisiologia Humana,3.8,9
110,Português,Semântica,2.3,4
111,Biologia,Fisiologia Humana,2.6,10
112,Matemática,Combinatória,4.5,14
113,Matemática,Geometria Espacial,2.2,10
114,Português,Redação,4.0,14
115,Biologia,Fisiologia Humana,1.9,3
116,Português,Interpretação de Texto,3.7,14
117,Química,Inorgânica,4.7,16
118,Matemática,Trigonometria,3.4,8
119,Português,Literatura Brasileira,4.5,13
120,Português,Interpretação de Texto,1.8,9
121,Português,Interpretação de Texto,4.0,12
122,Física,Óptica,1.1,3
123,Biologia,Evolução,1.3,2
124,Matemática,Geometria Plana,1.8,18
125,Química,Inorgânica,3.7,10
126,Inglês,Vocabulary,2.0,8
127,Física,Moderna,4.3,10
128,Matemática,Geometria Espacial,3.3,10
129,Português,Literatura Brasileira,1.3,6
130,Biologia,Citologia,3.8,14
131,Física,Moderna,4.9,14
132,Português,Interpretação de Texto,1.3,2
133,Português,Semântica,1.4,7
134,Inglês,Vocabulary,1.6,6
135,História,Brasil República,4.2,13
136,Inglês,Grammar,4.3,12
137,Biologia,Citologia,2.1,10
138,Inglês,Vocabulary,3.4,8
139,Inglês,Grammar,1.7,9
140,História,Brasil Colônia,2.1,6
141,Matemática,Cálculo,4.8,17
142,Português,Semântica,3.2,10
143,Inglês,Grammar,4.2,11
144,Português,Literatura Brasileira,2.2,7
145,Geografia,Cartografia,5.0,15
146,Inglês,Grammar,2.2,9
147,Biologia,Ecologia,1.5,8
148,Química,Físico-Química,1.9,8
149,História,Antiga,4.3,12
150,Química,Orgânica,1.1,3
151,Matemática,Álgebra,3.2,8
152,Inglês,Reading,4.5,14
153,Inglês,Grammar,2.4,7
154,Inglês,Reading,4.3,10
155,Matemática,Geometria Plana,1.6,4
156,Física,Dinâmica,1.5,6
157,Biologia,Botânica,2.5,7
158,Português,Interpretação de Texto,3.3,12
159,Física,Moderna,1.8,8
160,Física,Dinâmica,2.0,5
161,Matemática,Trigonometria,2.8,8
162,Matemática,Geometria Plana,2.2,10
163,Inglês,Reading,3.7,15
164,Biologia,Fisiologia Humana,1.5,3
165,História,Contemporânea,1.6,8
166,História,Brasil República,4.0,12
167,Inglês,Reading,2.9,9
168,História,Brasil República,3.2,11
169,Matemática,Trigonometria,3.9,9
170,Física,Dinâmica,4.8,16
171,Matemática,Combinatória,3.7,9
172,Química,Inorgânica,3.1,9
173,Química,Estequiometria,2.7,6
174,Inglês,Grammar,2.6,5
175,Química,Orgânica,2.6,10
176,Português,Redação,1.1,3
177,Geografia,Física,4.9,16
178,Matemática,Estatística,4.5,11
179,Biologia,Botânica,2.4,10
180,Inglês,Reading,1.8,5
181,Inglês,Vocabulary,2.9,20
182,História,Brasil República,1.1,2
183,Física,Óptica,4.8,13
184,Inglês,Vocabulary,2.2,7
185,Inglês,Grammar,2.0,7
186,Biologia,Botânica,3.0,13
187,Física,Termodinâmica,4.1,12
188,História,Contemporânea,1.0,7
189,Inglês,Reading,2.8,8
190,Português,Semântica,4.7,17
191,Biologia,Botânica,2.5,8
192,Matemática,Geometria Espacial,4.0,16
193,Português,Semântica,5.0,18
194,Química,Inorgânica,4.9,16
195,Geografia,Física,4.5,15
196,Inglês,Reading,3.9,14
197,Química,Atomística,2.9,8
198,Português,Gramática,4.4,17
199,Português,Interpretação de Texto,3.5,11
200,Matemática,Cálculo,1.3,3
201,Biologia,Evolução,1.4,8
202,Física,Óptica,1.7,3
203,Matemática,Geometria Espacial,4.2,12
204,Português,Literatura Brasileira,2.0,9
205,Química,Físico-Química,1.7,6
206,Biologia,Fisiologia Humana,4.7,15
207,História,Brasil Império,2.0,2
208,Química,Atomística,2.8,10
209,História,Moderna,4.8,15
210,História,Medieval,5.0,13
211,Biologia,Fisiologia Humana,3.3,12
212,História,Antiga,4.9,14
213,Matemática,Cálculo,4.5,11
214,Inglês,Grammar,4.1,16
215,Geografia,Humana,3.5,13
216,Química,Eletroquímica,1.4,2
217,História,Contemporânea,2.8,11
218,Química,Atomística,4.6,14
219,Química,Físico-Química,1.5,4
220,História,Contemporânea,1.7,6
221,História,Moderna,4.5,14
222,Física,Dinâmica,4.0,15
223,Português,Redação,2.5,5
224,História,Brasil República,1.5,7
225,História,Brasil República,2.5,7
226,Física,Ondulatória,1.9,2
227,Física,Ondulatória,4.3,12
228,Português,Gramática,1.6,4
229,Inglês,Reading,1.4,3
230,Português,Semântica,2.5,10
231,Português,Redação,4.0,13
232,Física,Moderna,3.0,9
233,Matemática,Estatística,2.5,6
234,Geografia,Física,4.9,17
235,Geografia,Física,2.6,5
236,Inglês,Reading,3.7,13
237,Matemática,Álgebra,4.1,11
238,Biologia,Citologia,4.3,14
239,Biologia,Genética,2.3,8
240,Matemática,Geometria Espacial,4.4,12
241,História,Contemporânea,1.7,3
242,Química,Atomística,2.4,9
243,Geografia,Física,1.7,8
244,Português,Redação,1.5,5
245,Geografia,Ambiental,3.4,9
246,Matemática,Estatística,4.1,14
247,História,Brasil Império,3.6,5
248,Português,Gramática,3.0,7
249,Física,Termodinâmica,3.4,10
250,Geografia,Cartografia,5.0,16
251,Português,Gramática,4.2,15
252,Biologia,Fisiologia Humana,2.8,8
253,Inglês,Grammar,2.7,9
254,Geografia,Geopolítica,2.5,8
255,Física,Cinemática,4.3,10
256,Geografia,Humana,3.2,11
257,Geografia,Física,2.6,11
258,Português,Gramática,4.9,14
259,Física,Eletromagnetismo,3.0,10
260,Biologia,Citologia,2.4,5
261,História,Brasil República,1.9,7
262,Matemática,Cálculo,4.7,14
263,Matemática,Geometria Plana,2.1,6
264,Geografia,Física,1.7,8
265,Português,Gramática,1.6,2
266,Física,Ondulatória,3.1,10
267,Geografia,Humana,2.5,11
268,Física,Cinemática,1.6,2
269,Física,Termodinâmica,2.8,10
270,Inglês,Grammar,2.1,4
271,Geografia,Cartografia,1.4,6
272,Inglês,Vocabulary,3.7,9
273,Matemática,Geometria Plana,2.2,5
274,História,Brasil Colônia,2.3,3
275,Química,Inorgânica,3.1,11
276,Geografia,Física,2.6,8
277,Matemática,Trigonometria,4.7,16
278,Português,Redação,2.6,7
279,Física,Óptica,1.1,7
280,Inglês,Vocabulary,4.7,18
281,Física,Dinâmica,2.7,6
282,Português,Interpretação de Texto,4.0,16
283,Química,Atomística,3.0,11
284,Biologia,Ecologia,2.4,10
285,Química,Físico-Química,1.4,3
286,Química,Eletroquímica,1.3,6
287,Inglês,Grammar,4.0,13
288,Geografia,Geopolítica,1.6,5
289,História,Contemporânea,2.1,8
290,Física,Termodinâmica,2.8,4
291,Física,Ondulatória,4.5,15
292,Português,Semântica,3.3,12
293,Matemática,Trigonometria,4.6,12
294,Geografia,Ambiental,2.9,6
295,Inglês,Reading,4.2,15
296,Física,Eletromagnetismo,3.6,5
297,Química,Orgânica,2.5,8
298,Geografia,Ambiental,1.2,3
299,Física,Termodinâmica,1.4,4
300,História,Moderna,4.4,15
301,Química,Orgânica,1.3,3
302,História,Moderna,3.8,13
303,Física,Termodinâmica,3.2,9
304,Química,Eletroquímica,3.8,14
305,Física,Ondulatória,3.7,9
306,Geografia,Geopolítica,1.7,9
307,Inglês,Reading,1.9,3
308,História,Contemporânea,4.2,14
309,Matemática,Estatística,2.3,5
310,Português,Literatura Brasileira,1.6,8
311,Química,Eletroquímica,2.8,11
312,Biologia,Fisiologia Humana,3.4,14
313,Inglês,Reading,3.1,13
314,Inglês,Reading,2.5,8
315,Inglês,Grammar,4.1,13
316,Química,Físico-Química,4.2,12
317,Matemática,Estatística,2.9,6
318,Física,Termodinâmica,1.3,4
319,Química,Inorgânica,1.4,8
320,Inglês,Grammar,4.7,15
321,Geografia,Humana,2.5,6
322,Matemática,Geometria Espacial,4.7,17
323,Geografia,Humana,1.6,8
324,Inglês,Vocabulary,4.3,13
325,Inglês,Vocabulary,1.0,3
326,Biologia,Genética,3.2,11
327,Português,Gramática,4.1,10
328,Matemática,Geometria Plana,2.7,9
329,Física,Cinemática,4.3,14
330,Matemática,Estatística,3.1,8
331,História,Brasil Império,1.0,5
332,Português,Literatura Brasileira,3.7,11
333,Física,Eletromagnetismo,3.2,11
334,Matemática,Trigonometria,4.5,9
335,História,Moderna,1.1,3
336,Biologia,Evolução,3.6,12
337,Geografia,Humana,1.2,7
338,Química,Eletroquímica,2.9,11
339,Química,Físico-Química,1.3,4
340,Matemática,Geometria Espacial,1.8,3
341,Geografia,Geopolítica,3.1,11
342,Inglês,Grammar,1.1,3
343,Geografia,Física,4.5,11
344,Geografia,Cartografia,4.6,14
345,Geografia,Humana,3.0,13
346,História,Contemporânea,1.3,4
347,Química,Estequiometria,2.2,6
348,História,Brasil Colônia,2.8,7
349,Inglês,Grammar,2.8,8
350,Português,Interpretação de Texto,3.6,8
351,Física,Ondulatória,3.6,14
352,Química,Atomística,1.6,8
353,Inglês,Reading,1.5,7
354,Geografia,Geopolítica,2.5,9
355,Química,Eletroquímica,2.8,9
356,Física,Eletromagnetismo,1.6,4
357,História,Medieval,4.8,31
358,Português,Redação,1.5,7
359,Inglês,Reading,5.0,16
360,Biologia,Citologia,1.5,3
361,Inglês,Reading,4.2,12
362,Geografia,Física,3.2,9
363,Química,Eletroquímica,3.8,10
364,Geografia,Ambiental,1.9,9
365,Química,Físico-Química,4.2,7
366,Química,Estequiometria,4.5,14
367,Inglês,Vocabulary,2.6,9
368,Física,Dinâmica,4.9,15
369,Inglês,Vocabulary,3.1,13
370,Química,Físico-Química,2.7,6
371,Física,Eletromagnetismo,1.6,4
372,Biologia,Ecologia,4.8,14
373,Física,Termodinâmica,1.8,5
374,Química,Eletroquímica,2.2,8
375,Química,Estequiometria,4.8,17
376,Geografia,Ambiental,1.2,2
377,Matemática,Estatística,4.1,11
378,Português,Redação,3.6,13
379,História,Moderna,4.8,18
380,Português,Interpretação de Texto,2.8,7
381,Inglês,Grammar,2.9,10
382,Química,Orgânica,4.4,17
383,Geografia,Cartografia,1.5,6
384,Física,Termodinâmica,2.0,7
385,Biologia,Genética,1.4,5
386,Português,Literatura Brasileira,4.9,18
387,Geografia,Ambiental,3.9,10
388,Inglês,Vocabulary,2.9,9
389,Matemática,Álgebra,4.8,13
390,Biologia,Botânica,2.4,8
391,Inglês,Grammar,3.1,10
392,Química,Orgânica,3.9,11
393,Matemática,Trigonometria,1.2,3
394,História,Antiga,2.5,9
395,História,Contemporânea,5.0,13
396,Química,Atomística,2.6,7
397,Geografia,Humana,1.8,7
398,Matemática,Álgebra,1.2,7
399,Inglês,Vocabulary,2.8,10
400,Química,Orgânica,4.7,15
401,História,Brasil República,2.3,8
402,Inglês,Vocabulary,3.3,7
403,Geografia,Geopolítica,3.7,13
404,História,Contemporânea,4.6,16
405,Matemática,Cálculo,2.9,12
406,Biologia,Evolução,1.2,5
407,Português,Literatura Brasileira,4.3,14
408,Física,Dinâmica,1.1,2
409,Português,Literatura Brasileira,2.6,8
410,Matemática,Estatística,1.6,4
411,Inglês,Vocabulary,2.5,8
412,Geografia,Ambiental,2.4,10
413,História,Brasil República,2.9,8
414,História,Medieval,4.8,18
415,História,Moderna,1.8,5
416,Inglês,Grammar,3.2,12
417,História,Brasil Colônia,1.5,5
418,Português,Interpretação de Texto,4.8,14
419,Matemática,Geometria Espacial,4.8,15
420,História,Moderna,2.9,10
421,História,Brasil República,3.8,13
422,Biologia,Genética,1.2,2
423,Biologia,Citologia,1.4,5
424,Física,Ondulatória,4.1,28
425,Inglês,Grammar,3.6,10
426,Geografia,Geopolítica,3.6,8
427,Biologia,Botânica,4.0,10
428,Química,Inorgânica,4.5,11
429,Português,Semântica,1.7,9
430,História,Antiga,1.0,2
431,Geografia,Geopolítica,2.8,10
432,Inglês,Reading,4.4,12
433,Física,Termodinâmica,1.6,4
434,Química,Atomística,3.9,13
435,Biologia,Genética,3.4,11
436,Português,Redação,2.3,4
437,Química,Físico-Química,2.9,6
438,História,Brasil Império,1.9,5
439,História,Brasil República,3.9,8
440,Matemática,Estatística,1.5,5
441,História,Moderna,1.5,4
442,Geografia,Ambiental,1.9,6
443,Química,Inorgânica,4.0,13
444,Inglês,Vocabulary,4.2,16
445,Biologia,Evolução,4.0,10
446,Inglês,Vocabulary,3.8,13
447,Física,Cinemática,4.3,11
448,Química,Físico-Química,2.3,4
449,Biologia,Evolução,3.3,11
450,Inglês,Reading,2.8,9
451,Matemática,Cálculo,2.8,11
452,Matemática,Trigonometria,2.0,25
453,Física,Cinemática,2.7,10
454,Matemática,Álgebra,4.9,14
455,Português,Literatura Brasileira,4.1,15
456,Português,Interpretação de Texto,5.0,19
457,Português,Semântica,1.3,7
458,Química,Eletroquímica,4.4,15
459,Português,Redação,1.5,8
460,Matemática,Combinatória,1.1,6
461,Português,Redação,2.5,8
462,Geografia,Humana,2.1,9
463,Física,Cinemática,4.2,16
464,Matemática,Geometria Plana,1.8,3
465,Inglês,Vocabulary,3.7,10
466,Matemática,Trigonometria,2.8,12
467,Matemática,Geometria Plana,3.0,13
468,Geografia,Ambiental,3.4,10
469,Biologia,Ecologia,4.5,15
470,Biologia,Fisiologia Humana,2.2,8
471,Química,Eletroquímica,3.7,9
472,Geografia,Cartografia,4.1,13
473,Português,Literatura Brasileira,2.2,8
474,Inglês,Reading,4.4,16
475,Química,Inorgânica,4.7,15
476,Química,Inorgânica,2.0,9
477,Física,Óptica,4.4,16
478,Biologia,Citologia,2.1,8
479,Matemática,Combinatória,1.3,5
480,Biologia,Fisiologia Humana,1.8,5
481,Matemática,Geometria Plana,4.7,12
482,Inglês,Reading,3.8,12
483,Biologia,Botânica,2.3,7
484,Geografia,Geopolítica,2.0,7
485,Inglês,Reading,4.2,16
486,Geografia,Humana,2.5,9
487,Biologia,Evolução,1.6,6
488,Português,Interpretação de Texto,1.6,5
489,Biologia,Fisiologia Humana,3.2,9
490,História,Contemporânea,4.3,15
491,Inglês,Grammar,1.7,4
492,Química,Eletroquímica,3.2,11
493,Matemática,Cálculo,1.1,7
494,Matemática,Combinatória,1.0,6
495,Biologia,Citologia,3.8,7
496,Matemática,Cálculo,3.6,11
497,Inglês,Reading,1.0,2
498,Matemática,Cálculo,3.9,11
499,Matemática,Cálculo,4.3,16
500,Química,Atomística,4.7,13
501,Biologia,Botânica,3.1,9
502,Português,Gramática,2.5,9
503,Biologia,Evolução,1.9,9
504,Física,Ondulatória,5.0,13
505,Física,Óptica,2.5,5
506,Matemática,Estatística,1.7,6
507,Geografia,Ambiental,4.9,16
508,Matemática,Geometria Plana,1.8,7
509,Inglês,Grammar,1.2,3
510,Matemática,Geometria Plana,4.7,13
511,Química,Eletroquímica,4.3,12
512,Química,Estequiometria,2.0,7
513,Geografia,Cartografia,4.0,15
514,Física,Eletromagnetismo,4.0,10
515,Português,Literatura Brasileira,4.4,17
516,Português,Interpretação de Texto,1.1,4
517,Inglês,Reading,2.4,8
518,Química,Eletroquímica,3.3,13
519,História,Contemporânea,2.0,6
520,Química,Inorgânica,3.8,14
521,Português,Interpretação de Texto,2.4,7
522,Inglês,Grammar,4.0,10
523,Química,Inorgânica,2.8,9
524,Física,Cinemática,1.4,6
525,Geografia,Cartografia,1.0,7
526,Física,Ondulatória,4.6,12
527,Química,Eletroquímica,2.5,7
528,História,Brasil Império,1.6,4
529,Português,Interpretação de Texto,2.9,8
530,Biologia,Evolução,3.5,9
531,Inglês,Reading,1.5,1
532,Português,Interpretação de Texto,2.8,12
533,Química,Orgânica,2.3,5
534,Inglês,Grammar,1.7,5
535,História,Moderna,3.8,13
536,Biologia,Ecologia,2.5,8
537,Geografia,Física,4.7,16
538,Química,Eletroquímica,4.1,9
539,Inglês,Grammar,4.3,16
540,Português,Semântica,1.6,4
541,Química,Eletroquímica,2.7,9
542,Inglês,Vocabulary,2.6,11
543,Português,Redação,1.1,6
544,Física,Cinemática,4.1,12
545,Química,Eletroquímica,3.5,13
546,Português,Interpretação de Texto,4.9,12
547,Física,Termodinâmica,1.9,7
548,Biologia,Fisiologia Humana,2.5,10
549,Química,Orgânica,5.0,15
550,Português,Gramática,1.5,3
551,Geografia,Geopolítica,2.4,9
552,Inglês,Grammar,2.9,11
553,Inglês,Grammar,1.3,13
554,Geografia,Física,3.7,14
555,Biologia,Botânica,1.7,7
556,Português,Semântica,1.9,4
557,Química,Eletroquímica,3.6,13
558,Biologia,Fisiologia Humana,3.4,13
559,Biologia,Genética,2.1,10
560,Física,Eletromagnetismo,1.4,3
561,Geografia,Geopolítica,1.8,8
562,Inglês,Vocabulary,4.9,15
563,Português,Redação,1.5,5
564,Química,Eletroquímica,3.8,13
565,Física,Ondulatória,1.5,4
566,Física,Dinâmica,2.5,8
567,Português,Redação,1.6,3
568,Inglês,Vocabulary,3.1,8
569,Química,Inorgânica,2.2,10
570,Inglês,Vocabulary,1.2,2
571,Inglês,Reading,1.8,7
572,Inglês,Grammar,3.7,15
573,Inglês,Grammar,1.7,9
574,Biologia,Ecologia,1.1,3
575,Química,Inorgânica,3.3,10
576,Física,Eletromagnetismo,1.5,8
577,Geografia,Ambiental,4.3,9
578,Português,Gramática,3.9,10
579,História,Contemporânea,5.0,15
580,Física,Óptica,4.5,17
581,Biologia,Genética,4.2,12
582,Português,Literatura Brasileira,3.5,14
583,Biologia,Citologia,3.3,11
584,Química,Orgânica,4.9,16
585,História,Contemporânea,3.1,13
586,Física,Dinâmica,4.9,12
587,História,Contemporânea,3.6,9
588,Biologia,Genética,3.8,15
589,Português,Semântica,1.6,7
590,Português,Semântica,2.8,12
591,Física,Óptica,3.1,9
592,Inglês,Grammar,2.3,23
593,Geografia,Física,4.2,13
594,Biologia,Fisiologia Humana,2.1,6
595,Química,Estequiometria,4.4,16
596,Matemática,Álgebra,1.4,5
597,Matemática,Álgebra,4.7,15
598,Matemática,Trigonometria,1.8,4
599,História,Medieval,4.5,11
600,Geografia,Geopolítica,1.3,6
601,Química,Atomística,2.6,10
602,Biologia,Fisiologia Humana,3.6,8
603,Biologia,Fisiologia Humana,1.3,5
604,Inglês,Reading,1.0,2
605,Português,Literatura Brasileira,2.9,6
606,Física,Cinemática,2.3,5
607,Português,Literatura Brasileira,3.6,8
608,Matemática,Cálculo,3.6,13
609,Biologia,Evolução,4.0,14
610,Inglês,Reading,1.3,7
611,Física,Eletromagnetismo,3.9,12
612,Geografia,Humana,2.0,5
613,História,Contemporânea,4.8,11
614,Biologia,Evolução,2.6,11
615,Biologia,Fisiologia Humana,2.5,10
616,Física,Eletromagnetismo,4.6,9
617,Química,Inorgânica,4.4,13
618,Química,Inorgânica,4.8,12
619,Física,Cinemática,2.0,22
620,História,Moderna,3.9,12
621,Português,Gramática,3.6,9
622,História,Antiga,2.2,5
623,Química,Estequiometria,2.3,10
624,Física,Termodinâmica,3.8,15
625,Biologia,Citologia,2.0,4
626,Inglês,Vocabulary,3.4,13
627,Química,Atomística,1.1,2
628,Química,Inorgânica,4.8,18
629,História,Medieval,2.5,11
630,História,Moderna,4.5,11
631,Geografia,Cartografia,2.1,9
632,Física,Óptica,2.8,9
633,Química,Orgânica,1.6,6
634,Física,Dinâmica,4.0,25
635,Matemática,Trigonometria,2.5,6
636,Matemática,Cálculo,4.2,15
637,Português,Literatura Brasileira,2.3,9
638,Geografia,Geopolítica,4.3,10
639,Matemática,Geometria Plana,1.9,3
640,Português,Gramática,4.5,17
641,História,Brasil Colônia,1.3,3
642,Biologia,Ecologia,3.3,11
643,Biologia,Fisiologia Humana,2.5,11
644,Biologia,Evolução,4.6,12
645,Química,Atomística,4.7,12
646,Geografia,Física,4.0,15
647,História,Antiga,1.8,6
648,Inglês,Reading,4.9,14
649,Física,Cinemática,4.7,16
650,Português,Interpretação de Texto,2.8,10
651,Física,Eletromagnetismo,1.5,2
652,Matemática,Trigonometria,3.6,10
653,História,Contemporânea,2.3,9
654,Geografia,Geopolítica,2.8,7
655,Química,Estequiometria,1.4,5
656,Inglês,Grammar,2.6,11
657,Biologia,Fisiologia Humana,2.2,4
658,Física,Dinâmica,4.2,15
659,Matemática,Geometria Plana,4.3,10
660,Biologia,Ecologia,2.6,3
661,Química,Atomística,4.8,16
662,Biologia,Citologia,2.8,7
663,Física,Cinemática,1.2,2
664,Química,Físico-Química,4.3,15
665,Física,Eletromagnetismo,3.3,7
666,Matemática,Álgebra,1.8,9
667,Química,Atomística,4.6,13
668,Física,Cinemática,4.8,16
669,Português,Semântica,3.0,10
670,Química,Orgânica,1.9,5
671,Inglês,Reading,1.1,2
672,História,Brasil Império,2.6,5
673,Física,Termodinâmica,2.5,10
674,Biologia,Evolução,5.0,13
675,Português,Interpretação de Texto,2.9,8
676,Geografia,Cartografia,2.1,16
677,História,Antiga,4.2,12
678,Biologia,Genética,1.4,4
679,Matemática,Combinatória,5.0,19
680,Português,Interpretação de Texto,4.7,13
681,Química,Físico-Química,3.4,13
682,Geografia,Ambiental,1.1,5
683,Química,Estequiometria,4.8,18
684,Inglês,Vocabulary,2.2,4
685,Matemática,Geometria Plana,3.4,8
686,Geografia,Ambiental,1.8,8
687,Química,Orgânica,1.2,6
688,Química,Atomística,4.4,11
689,Geografia,Cartografia,3.3,9
690,Química,Físico-Química,3.9,14
691,Inglês,Vocabulary,2.3,8
692,Geografia,Humana,3.7,12
693,História,Moderna,3.8,14
694,Matemática,Estatística,4.8,18
695,Matemática,Geometria Plana,3.4,12
696,Biologia,Evolução,3.3,8
697,Geografia,Física,2.0,5
698,Física,Moderna,3.8,11
699,Inglês,Reading,2.1,4
700,Geografia,Geopolítica,4.1,10
701,Português,Semântica,3.9,12
702,Inglês,Grammar,2.4,11
703,Inglês,Vocabulary,3.6,9
704,Inglês,Reading,4.2,27
705,História,Antiga,1.3,4
706,Química,Eletroquímica,1.3,2
707,Geografia,Ambiental,4.9,17
708,Matemática,Trigonometria,4.8,15
709,Química,Atomística,1.4,3
710,Português,Redação,3.9,11
711,História,Brasil Colônia,2.0,3
712,Matemática,Geometria Espacial,1.0,7
713,Inglês,Reading,1.4,7
714,História,Antiga,2.9,12
715,Português,Semântica,3.0,7
716,Português,Literatura Brasileira,2.5,6
717,Inglês,Reading,2.1,5
718,História,Brasil República,1.2,6
719,Física,Cinemática,3.7,12
720,Biologia,Botânica,1.2,5
721,Português,Redação,3.7,13
722,Biologia,Fisiologia Humana,2.2,10
723,Matemática,Cálculo,3.3,11
724,Química,Atomística,4.8,13
725,Biologia,Genética,1.5,7
726,Português,Literatura Brasileira,5.0,19
727,História,Brasil Colônia,4.6,11
728,Física,Óptica,3.2,13
729,História,Brasil República,2.8,12
730,Português,Gramática,2.7,10
731,Física,Cinemática,3.3,9
732,Geografia,Cartografia,2.1,8
733,Inglês,Reading,1.7,7
734,Português,Gramática,2.6,10
735,Biologia,Citologia,4.0,12
736,Matemática,Geometria Espacial,4.3,12
737,Inglês,Vocabulary,3.7,10
738,Química,Orgânica,4.9,18
739,Geografia,Geopolítica,3.9,9
740,Biologia,Fisiologia Humana,1.8,8
741,Inglês,Vocabulary,4.5,15
742,Química,Atomística,2.2,5
743,Matemática,Geometria Plana,1.8,9
744,Matemática,Geometria Plana,1.1,3
745,Biologia,Ecologia,2.5,8
746,Física,Ondulatória,1.1,5
747,Inglês,Reading,4.8,16
748,Geografia,Geopolítica,1.7,8
749,Física,Termodinâmica,1.1,16
750,Biologia,Evolução,1.8,7
751,Matemática,Combinatória,4.1,10
752,Inglês,Reading,3.6,8
753,Biologia,Ecologia,3.4,13
754,História,Brasil Império,4.6,14
755,História,Medieval,2.9,12
756,Português,Redação,1.4,7
757,Geografia,Ambiental,3.6,10
758,Física,Óptica,1.3,6
759,Geografia,Geopolítica,2.0,9
760,História,Medieval,1.6,2
761,Português,Interpretação de Texto,3.7,14
762,Inglês,Grammar,2.0,7
763,Matemática,Cálculo,3.8,10
764,Geografia,Humana,3.7,12
765,Geografia,Ambiental,2.2,9
766,Química,Orgânica,1.4,4
